#branch                    	    git_name                module_name             build_env    sign
acuteag_dev_1.0.1                   AcuteagGallery              AcuteagGallery           msm8998 media
acuteag_dev_1.0.1                   AcuteagLauncher              AcuteagLauncher              gradlem      shared
acuteag_dev_1.0.1                   AcuteagThemeManager          AcuteagThemeManager         msm8998     platform
acuteag_dev_1.0.1                   AcuteagSystemUI          AcuteagSystemUI         msm8998     platform
acuteag_dev_1.0.1                   AcuteagSettings          AcuteagSettings         msm8998     platform
acuteag_dev_1.0.1                   AcuteagInCallUI          AcuteagInCallUI         msm8998     platform
acuteag_dev_1.0.1                   AcuteagTelephony         AcuteagTeleService        msm8998     platform
acuteag_dev_1.0.1                   AcuteagTelecomm         AcuteagTelecom         msm8998     platform
acuteag_dev_1.0.1                   AcuteagReject         AcuteagReject         msm8998     platform
acuteag_dev_1.0.1                   AcuteagContactsProvider         AcuteagContactsProvider         msm8998     shared
acuteag_dev_1.0.1                   AcuteagDialer         AcuteagDialer         msm8998     shared
acuteag_dev_1.0.1                   AcuteagContacts         AcuteagContacts         msm8998     shared
acuteag_dev_1.0.1                   AcuteagTelephonyProvider         AcuteagTelephonyProvider         msm8998     platform
acuteag_dev_1.0.1                   AcuteagMms         AcuteagMms         msm8998     platform
acuteag_dev_1.0.1                   AcuteagMmsService         AcuteagMmsService         msm8998     platform
acuteag_dev_1.0.1                   AcuteagContacts        AcuteagContacts         msm8998     shared
acuteag_dev_1.0.1                   AcuteagContacts        AcuteagContacts         msm8998     shared
acuteag_dev_1.0.1                   AcuteagPermissionControl        AcuteagPermissionControl         msm8998     platform
acuteag_dev_1.0.1                   AcuteagPowerManager        AcuteagPowerManager         msm8998     platform
acuteag_dev_1.0.1                   AcuteagManager        AcuteagManager         msm8998     platform
acuteag_dev_1.0.1                   AcuteagProvision        AcuteagProvision         msm8998     platform
acuteag_dev_1.0.1                   AcuteagDeskClock        AcuteagDeskClock         msm8998     platform
acuteag_dev_1.0.1                   AcuteagNetManager        AcuteagNetManager         msm8998     platform
acuteag_dev_1.0.1                   AcuteagQuickSearchBox        AcuteagQuickSearchBox         msm8998     shared
acuteag_dev_1.0.1                   AcuteagFileManager        AcuteagFileManager         msm8998     platform
acuteag_dev_1.0.1                   AcuteagCalendar        AcuteagCalendar         msm8998     platform
acuteag_dev_1.0.1                   AcuteagCalendarProvider        AcuteagCalendarProvider         msm8998     platform
acuteag_dev_1.0.1                   AcuteagPackageInstaller        AcuteagPackageInstaller         msm8998     platform
acuteag_dev_1.0.1                   AcuteagSpiderMan        AcuteagSpiderMan         msm8998     platform
acuteag_dev_1.0.1                   AcuteagApplicationsProvider        AcuteagApplicationsProvider         msm8998     shared
acuteag_dev_1.0.1                   AcuteagDownloadProvider        AcuteagDownloadProvider         msm8998     media
acuteag_dev_1.0.1                   AcuteagLockScreen        AcuteagLockScreen         msm8998     platform
acuteag_dev_1.0.1                   AcuteagCalculator        AcuteagCalculator         msm8998     shared
acuteag_dev_1.0.1                   AcuteagContactsCommon        AcuteagContactsCommon         msm8998     shared
acuteag_dev_1.0.1                   AcuteagUploadPhoneInfo        AcuteagUploadPhoneInfo         msm8998     platform
acuteag_dev_1.0.1                   AcuteagVRWallPaper              AcuteagVRWallPaper              gradlen      platform
acuteag_dev_1.0.1                   AcuteagNote              AcuteagNote              msm8998      platform
acuteag_dev_1.0.1                   AcuteagSoundRecorder              AcuteagSoundRecorder              msm8998      platform
acuteag_dev_1.0.1                   AcuteagCellBroadcastReceiver              AcuteagCellBroadcastReceiver              msm8998      platform
acuteag_dev_1.0.1                   AcuteagMusic	AcuteagMusic	msm8998      platform
acuteag_dev_1.0.1                   AcuteagCamera        AcuteagCamera    msm8998      platform
